;egg;temp;loc;r_egg;year;DT
PSW21039;155.00;21.00;Praha;0.006451613;2013;3255.0000000000000
KSW1801006;155.5;18.00;Klatovy;0.006430868;2013;2799.0000000000000
PSW21013;155.5;21.00;Praha;0.006430868;2013;3265.5000000000000
PSW21025;156.75;21.00;Praha;0.006379585;2013;3291.7500000000000
BSW15008;157.00;15.00;Bestvi;0.006369427;2013;2355.0000000000000
BSW15009;157.00;15.00;Bestvi;0.006369427;2013;2355.0000000000000
BSW15010;157.00;15.00;Bestvi;0.006369427;2013;2355.0000000000000
PSW15016;157.00;15.00;Praha;0.006369427;2013;2355.0000000000000
BSW15006;157.0000007;15.00;Bestvi;0.006369427;2013;2355.0000105000000
BSW15007;157.0000007;15.00;Bestvi;0.006369427;2013;2355.0000105000000
DSW18015;158.25;18.00;Domazlice;0.006319115;2013;2848.5000000000000
PSW18016;158.25;18.00;Praha;0.006319115;2013;2848.5000000000000
KSW18012;158.5;18.00;Klatovy;0.006309148;2013;2853.0000000000000
KSW18013;158.5;18.00;Klatovy;0.006309148;2013;2853.0000000000000
KSW18008;158.75;18.00;Klatovy;0.006299213;2013;2857.5000000000000
BSW18033;160.5;18.00;Bestvi;0.00623053;2013;2889.0000000000000
BSW18034;160.5;18.00;Bestvi;0.00623053;2013;2889.0000000000000
BSW18010;162.875;18.00;Bestvi;0.006139678;2013;2931.7500000000000
BSW15001;162.8750007;15.00;Bestvi;0.006139678;2013;2443.1250105000000
BSW15004;178.5000007;15.00;Bestvi;0.005602241;2013;2677.5000105000000
BSW15005;178.5000007;15.00;Bestvi;0.005602241;2013;2677.5000105000000
PSW15008;178.5000007;15.00;Praha;0.005602241;2013;2677.5000105000000
PSW15009;178.5000007;15.00;Praha;0.005602241;2013;2677.5000105000000
PSW1803005;179.00;18.00;Praha;0.005586592;2013;3222.0000000000000
PSW15001;180.00;15.00;Praha;0.005555556;2013;2700.0000000000000
PSW15002;180.00;15.00;Praha;0.005555556;2013;2700.0000000000000
PSW15003;180.00;15.00;Praha;0.005555556;2013;2700.0000000000000
BSW18019;180.7500007;18.00;Bestvi;0.005532503;2013;3253.5000126000000
PSW18024;180.7500007;18.00;Praha;0.005532503;2013;3253.5000126000000
PSW18025;180.7500007;18.00;Praha;0.005532503;2013;3253.5000126000000
PSW18026;180.7500007;18.00;Praha;0.005532503;2013;3253.5000126000000
PSW15005;181.5;15.00;Praha;0.005509642;2013;2722.5000000000000
BSW15002;181.8750007;15.00;Bestvi;0.005498282;2013;2728.1250105000000
BSW18018;181.8750007;18.00;Bestvi;0.005498282;2013;3273.7500126000000
BSW18018;181.8750007;18.00;Bestvi;0.005498282;2013;3273.7500126000000
PSW15004;181.8750007;15.00;Praha;0.005498282;2013;2728.1250105000000
PSW18023;181.8750007;18.00;Praha;0.005498282;2013;3273.7500126000000
PSW15010;185.0000007;15.00;Praha;0.005405405;2013;2775.0000105000000
68P15;192.00;15.00;Praha;0.005208333;2012;2880.0000000000000
69P15;192.00;15.00;Praha;0.005208333;2012;2880.0000000000000
BSW15003;205.5;15.00;Bestvi;0.00486618;2013;3082.5000000000000
PSW15006;205.5;15.00;Praha;0.00486618;2013;3082.5000000000000
PSW15007;205.5;15.00;Praha;0.00486618;2013;3082.5000000000000
PSW15012;208.5;15.00;Praha;0.004796163;2013;3127.5000000000000
136P15;216.00;15.00;Praha;0.00462963;2012;3240.0000000000000
137P15;216.00;15.00;Praha;0.00462963;2012;3240.0000000000000
PSW15011;230.5000007;15.00;Praha;0.004338395;2013;3457.5000105000000
PSW15013;233.0000007;15.00;Praha;0.004291845;2013;3495.0000105000000
PSW15014;233.0000007;15.00;Praha;0.004291845;2013;3495.0000105000000
PSW15015;233.0000007;15.00;Praha;0.004291845;2013;3495.0000105000000
100P15;240.00;15.00;Praha;0.004166667;2012;3600.0000000000000
10B15;288.00;15.00;Bestvi;0.003472222;2012;4320.0000000000000
