;egg;L1;L2;L3;pupae;total;temp;loc;r_egg;r_l1;r_l2;r_l3;r_pup;r_tot;year
35B15;72;72;168;;;;15;Bestvi;0.013888889;0.013888889;0.005952381;;;;2012
36B15;72;72;168;;;;15;Bestvi;0.013888889;0.013888889;0.005952381;;;;2012
37B15;72;72;168;;;;15;Bestvi;0.013888889;0.013888889;0.005952381;;;;2012
38B15;72;72;168;;;;15;Bestvi;0.013888889;0.013888889;0.005952381;;;;2012
39B15;72;72;168;;;;15;Bestvi;0.013888889;0.013888889;0.005952381;;;;2012
40B15;72;72;168;;;;15;Bestvi;0.013888889;0.013888889;0.005952381;;;;2012
77B21;72;72;168;;;;21;Bestvi;0.013888889;0.013888889;0.005952381;;;;2012
78B21;72;72;168;;;;21;Bestvi;0.013888889;0.013888889;0.005952381;;;;2012
79B21;72;72;168;;;;21;Bestvi;0.013888889;0.013888889;0.005952381;;;;2012
80B21;72;72;168;;;;21;Bestvi;0.013888889;0.013888889;0.005952381;;;;2012
81B21;72;72;168;;;;21;Bestvi;0.013888889;0.013888889;0.005952381;;;;2012
82B21;72;72;168;;;;21;Bestvi;0.013888889;0.013888889;0.005952381;;;;2012
BSW18026;109.5000007;121;168;;;;18;Bestvi;0.00913242;0.008264463;0.005952381;;;;2013
41B15;;;168;;;;15;Bestvi;;;0.005952381;;;;2012
42B15;;;168;;;;15;Bestvi;;;0.005952381;;;;2012
BSW18005;131.25;74;171.5;;;;18;Bestvi;0.007619048;0.013513514;0.005830904;;;;2013
PSW15016;157;191;189;;;;15;Praha;0.006369427;0.005235602;0.005291005;;;;2013
PSW21072;86;90.5;215.5;;;;21;Praha;0.011627907;0.011049724;0.004640371;;;;2013
16P15;;;216;;;;15;Praha;;;0.00462963;;;;2012
43B15;;;240;;;;15;Bestvi;;;0.004166667;;;;2012
PSW18031;113.0000007;96;384;;;;18;Praha;0.008849557;0.010416667;0.002604167;;;;2013
PSW21001;108.5;23;;;;;21;Praha;0.00921659;0.043478261;;;;;2013
PSW21002;108.5;23;;;;;21;Praha;0.00921659;0.043478261;;;;;2013
PSW21003;108.5;23;;;;;21;Praha;0.00921659;0.043478261;;;;;2013
PSW21004;108.5;23;;;;;21;Praha;0.00921659;0.043478261;;;;;2013
DSW18008;;23;;;;;18;Domazlice;;0.043478261;;;;;2013
PSW21021;;23.25;;;;;21;Praha;;0.043010753;;;;;2013
BSW21004001;;23.5;;;;;21;Bestvi;;0.042553191;;;;;2013
PSW1803001;;24.5;;;;;18;Praha;;0.040816327;;;;;2013
PSW21035;;43;;;;;21;Praha;;0.023255814;;;;;2013
PSW21008;85;46.5;;;;;21;Praha;0.011764706;0.021505376;;;;;2013
DSW18007;133;46.5;;;;;18;Domazlice;0.007518797;0.021505376;;;;;2013
PSW2504001;57;48;;;;;25;Praha;0.01754386;0.020833333;;;;;2013
PSW21068;109;48;;;;;21;Praha;0.009174312;0.020833333;;;;;2013
PSW21069;109;48;;;;;21;Praha;0.009174312;0.020833333;;;;;2013
PSW21070;109;48;;;;;21;Praha;0.009174312;0.020833333;;;;;2013
DSW18028;134.5;48;;;;;18;Domazlice;0.007434944;0.020833333;;;;;2013
BSW21001;;48;;;;;21;Bestvi;;0.020833333;;;;;2013
PSW18020;137.7500007;68;;;;;18;Praha;0.007259528;0.014705882;;;;;2013
