individual;development;r;DT;mortality_total;mortality_L2;mortality_L3;temp;loc;year;stage
DSW18005;155;0.006451613;2790;0;1;0;18;Domazlice;2013;egg
BSW18025;155;0.006451613;2790;0;1;0;18;Bestvi;2013;egg
DSW18006;155;0.006451613;2790;0;1;0;18;Domazlice;2013;egg
KSW18002;155;0.006451613;2790;0;1;0;18;Klatovy;2013;egg
BSW18024;155;0.006451613;2790;0;1;0;18;Bestvi;2013;egg
PSW21039;155;0.006451613;3255;0;0;0;21;Praha;2013;egg
KSW18006;155;0.006451613;2790;0;0;0;18;Klatovy;2013;egg
KSW1801006;155.5;0.006430868;2799;0;1;0;18;Klatovy;2013;egg
PSW21013;155.5;0.006430868;3265.5;0;0;0;21;Praha;2013;egg
PSW21025;156.75;0.006379585;3291.75;0;0;0;21;Praha;2013;egg
PSW15016;157;0.006369427;2355;0;1;0;15;Praha;2013;egg
BSW15009;157;0.006369427;2355;0;0;0;15;Bestvi;2013;egg
BSW15008;157;0.006369427;2355;0;0;0;15;Bestvi;2013;egg
BSW15010;157;0.006369427;2355;0;0;0;15;Bestvi;2013;egg
BSW15006;157.0000007;0.006369427;2355.000011;0;0;0;15;Bestvi;2013;egg
BSW15007;157.0000007;0.006369427;2355.000011;0;0;0;15;Bestvi;2013;egg
DSW18015;158.25;0.006319115;2848.5;0;1;0;18;Domazlice;2013;egg
PSW18016;158.25;0.006319115;2848.5;0;0;0;18;Praha;2013;egg
KSW18013;158.5;0.006309148;2853;0;1;0;18;Klatovy;2013;egg
KSW18012;158.5;0.006309148;2853;0;0;0;18;Klatovy;2013;egg
KSW18008;158.75;0.006299213;2857.5;0;1;0;18;Klatovy;2013;egg
BSW18034;160.5;0.00623053;2889;0;1;0;18;Bestvi;2013;egg
BSW18033;160.5;0.00623053;2889;0;0;0;18;Bestvi;2013;egg
BSW18010;162.875;0.006139678;2931.75;0;0;0;18;Bestvi;2013;egg
BSW15001;162.8750007;0.006139678;2443.125011;0;0;0;15;Bestvi;2013;egg
PSW15008;178.5000007;0.005602241;2677.500011;0;0;0;15;Praha;2013;egg
BSW15005;178.5000007;0.005602241;2677.500011;0;0;0;15;Bestvi;2013;egg
PSW15009;178.5000007;0.005602241;2677.500011;0;0;0;15;Praha;2013;egg
BSW15004;178.5000007;0.005602241;2677.500011;0;0;0;15;Bestvi;2013;egg
PSW1803005;179;0.005586592;3222;0;1;0;18;Praha;2013;egg
PSW15001;180;0.005555556;2700;0;1;0;15;Praha;2013;egg
PSW15003;180;0.005555556;2700;0;1;0;15;Praha;2013;egg
PSW15002;180;0.005555556;2700;0;0;0;15;Praha;2013;egg
PSW18025;180.7500007;0.005532503;3253.500013;0;1;0;18;Praha;2013;egg
BSW18019;180.7500007;0.005532503;3253.500013;0;1;0;18;Bestvi;2013;egg
PSW18024;180.7500007;0.005532503;3253.500013;0;1;0;18;Praha;2013;egg
PSW18026;180.7500007;0.005532503;3253.500013;0;1;0;18;Praha;2013;egg
PSW15005;181.5;0.005509642;2722.5;0;0;0;15;Praha;2013;egg
PSW18023;181.8750007;0.005498282;3273.750013;0;1;0;18;Praha;2013;egg
PSW15004;181.8750007;0.005498282;2728.125011;0;1;0;15;Praha;2013;egg
BSW15002;181.8750007;0.005498282;2728.125011;0;0;0;15;Bestvi;2013;egg
BSW18018;181.8750007;0.005498282;3273.750013;0;0;0;18;Bestvi;2013;egg
BSW18018;181.8750007;0.005498282;3273.750013;0;0;0;18;Bestvi;2013;egg
PSW15010;185.0000007;0.005405405;2775.000011;0;0;0;15;Praha;2013;egg
68P15;192;0.005208333;2880;0;0;0;15;Praha;2012;egg
69P15;192;0.005208333;2880;0;0;0;15;Praha;2012;egg
PSW15006;205.5;0.00486618;3082.5;0;0;0;15;Praha;2013;egg
BSW15003;205.5;0.00486618;3082.5;0;0;0;15;Bestvi;2013;egg
PSW15007;205.5;0.00486618;3082.5;0;0;0;15;Praha;2013;egg
PSW15012;208.5;0.004796163;3127.5;0;0;0;15;Praha;2013;egg
136P15;216;0.00462963;3240;0;1;1;15;Praha;2012;egg
137P15;216;0.00462963;3240;0;0;0;15;Praha;2012;egg
PSW15011;230.5000007;0.004338395;3457.500011;0;0;0;15;Praha;2013;egg
PSW15015;233.0000007;0.004291845;3495.000011;0;1;0;15;Praha;2013;egg
PSW15014;233.0000007;0.004291845;3495.000011;0;0;0;15;Praha;2013;egg
PSW15013;233.0000007;0.004291845;3495.000011;0;0;0;15;Praha;2013;egg
100P15;240;0.004166667;3600;0;0;0;15;Praha;2012;egg
10B15;288;0.003472222;4320;0;0;0;15;Bestvi;2012;egg
132P21;NA;NA;NA;0;1;1;21;Praha;2012;egg
125B25;NA;NA;NA;0;1;1;25;Bestvi;2012;egg
DSW18001;NA;NA;NA;1;1;1;18;Domazlice;2013;egg
DSW18001;NA;NA;NA;1;1;1;18;Domazlice;2013;egg
12P15;NA;NA;NA;1;1;1;15;Praha;2012;egg
DSW18002;NA;NA;NA;0;1;1;18;Domazlice;2013;egg
13P15;NA;NA;NA;0;1;1;15;Praha;2012;egg
99P15;NA;NA;NA;1;1;1;15;Praha;2012;egg
14P15;NA;NA;NA;0;1;1;15;Praha;2012;egg
BSW21014;NA;NA;NA;0;1;0;21;Bestvi;2013;egg
PSW1803002;NA;NA;NA;0;1;0;18;Praha;2013;egg
DSW18004;NA;NA;NA;0;1;0;18;Domazlice;2013;egg
PSW2504002;NA;NA;NA;0;1;0;25;Praha;2013;egg
BSW21004;NA;NA;NA;0;1;0;21;Bestvi;2013;egg
BSW21003;NA;NA;NA;0;1;0;21;Bestvi;2013;egg
BSW21005;NA;NA;NA;0;1;0;21;Bestvi;2013;egg
KSW1801003;NA;NA;NA;0;1;0;18;Klatovy;2013;egg
KSW1801002;NA;NA;NA;0;1;0;18;Klatovy;2013;egg
PSW18002;NA;NA;NA;0;1;0;18;Praha;2013;egg
BSW21006;NA;NA;NA;0;1;0;21;Bestvi;2013;egg
PSW21007;NA;NA;NA;0;1;0;21;Praha;2013;egg
57B21;NA;NA;NA;0;1;0;21;Bestvi;2012;egg
KSW1801004;NA;NA;NA;0;1;0;18;Klatovy;2013;egg
PSW18007;NA;NA;NA;0;1;0;18;Praha;2013;egg
BSW18004;NA;NA;NA;0;1;0;18;Bestvi;2013;egg
PSW1803004;NA;NA;NA;0;1;0;18;Praha;2013;egg
KSW18001;NA;NA;NA;0;1;0;18;Klatovy;2013;egg
115B25;NA;NA;NA;0;1;0;25;Bestvi;2012;egg
116B25;NA;NA;NA;0;1;0;25;Bestvi;2012;egg
117B25;NA;NA;NA;0;1;0;25;Bestvi;2012;egg
118B25;NA;NA;NA;0;1;0;25;Bestvi;2012;egg
119B25;NA;NA;NA;0;1;0;25;Bestvi;2012;egg
120B25;NA;NA;NA;0;1;0;25;Bestvi;2012;egg
121B25;NA;NA;NA;0;1;0;25;Bestvi;2012;egg
122B25;NA;NA;NA;0;1;0;25;Bestvi;2012;egg
123B25;NA;NA;NA;0;1;0;25;Bestvi;2012;egg
124B25;NA;NA;NA;0;1;0;25;Bestvi;2012;egg
98P15;NA;NA;NA;0;1;0;15;Praha;2012;egg
BSW18002;NA;NA;NA;0;1;0;18;Bestvi;2013;egg
DSW18011;NA;NA;NA;0;1;0;18;Domazlice;2013;egg
PSW18001;NA;NA;NA;0;1;0;18;Praha;2013;egg
15P15;NA;NA;NA;0;1;0;15;Praha;2012;egg
41B15;NA;NA;NA;0;1;0;15;Bestvi;2012;egg
42B15;NA;NA;NA;0;1;0;15;Bestvi;2012;egg
16P15;NA;NA;NA;0;1;0;15;Praha;2012;egg
43B15;NA;NA;NA;0;1;0;15;Bestvi;2012;egg
DSW18008;NA;NA;NA;0;0;0;18;Domazlice;2013;egg
PSW1803001;NA;NA;NA;0;0;0;18;Praha;2013;egg
PSW21021;NA;NA;NA;0;0;0;21;Praha;2013;egg
BSW21004001;NA;NA;NA;0;0;0;21;Bestvi;2013;egg
PSW21035;NA;NA;NA;0;0;0;21;Praha;2013;egg
BSW21001;NA;NA;NA;0;0;0;21;Bestvi;2013;egg
