;egg;L1;L2;L3;pupae;total;temp;loc;year;DT_egg;DT_L1;DT_L2;DT_L3;DT_pupae;DT_total
134B15;4;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;15;Bestvi;2012;60;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
135R15;4;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;15;Praha;2012;60;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
KSW18007;4.395833333;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;18;Klatovy;2013;79.125;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
PSW21038;4.395833333;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;21;Praha;2013;92.3125;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
DSW18003;4.416666667;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;18;Domazlice;2013;79.5;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
BSW21018;4.4375;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;21;Bestvi;2013;93.1875;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
PSW21024;4.4375;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;21;Praha;2013;93.1875;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
PSW21059;4.4375;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;21;Praha;2013;93.1875;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
PSW21064;4.4375;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;21;Praha;2013;93.1875;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
BSW21012;4.458333333;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;21;Bestvi;2013;93.625;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
