;egg;L1;L2;L3;pupae;total;temp;loc;year;DT_egg;DT_L1;DT_L2;DT_L3;DT_pupae;DT_total
34B15;3;3;7;NA;NA;NA;15;Bestvi;2012;45;45;105;NA;NA;NA
35B15;3;3;7;NA;NA;NA;15;Bestvi;2012;45;45;105;NA;NA;NA
36B15;3;3;7;NA;NA;NA;15;Bestvi;2012;45;45;105;NA;NA;NA
37B15;3;3;7;NA;NA;NA;15;Bestvi;2012;45;45;105;NA;NA;NA
38B15;3;3;7;NA;NA;NA;15;Bestvi;2012;45;45;105;NA;NA;NA
39B15;3;3;7;NA;NA;NA;15;Bestvi;2012;45;45;105;NA;NA;NA
40B15;3;3;7;NA;NA;NA;15;Bestvi;2012;45;45;105;NA;NA;NA
77B21;3;3;7;NA;NA;NA;21;Bestvi;2012;63;63;147;NA;NA;NA
78B21;3;3;7;NA;NA;NA;21;Bestvi;2012;63;63;147;NA;NA;NA
79B21;3;3;7;NA;NA;NA;21;Bestvi;2012;63;63;147;NA;NA;NA
80B21;3;3;7;NA;NA;NA;21;Bestvi;2012;63;63;147;NA;NA;NA
81B21;3;3;7;NA;NA;NA;21;Bestvi;2012;63;63;147;NA;NA;NA
82B21;3;3;7;NA;NA;NA;21;Bestvi;2012;63;63;147;NA;NA;NA
BSW18026;4.562500029;5.041666667;7;NA;NA;NA;18;Bestvi;2013;82.12500053;90.75;126;NA;NA;NA
41B15;NA;NA;7;NA;NA;NA;15;Bestvi;2012;NA;NA;105;NA;NA;NA
42B15;NA;NA;7;NA;NA;NA;15;Bestvi;2012;NA;NA;105;NA;NA;NA
BSW18005;5.46875;3.083333333;7.145833333;NA;NA;NA;18;Bestvi;2013;98.4375;55.5;128.625;NA;NA;NA
PSW15016;6.541666667;7.958333333;7.875;NA;NA;NA;15;Praha;2013;98.125;119.375;118.125;NA;NA;NA
PSW21072;3.583333333;3.770833333;8.979166667;NA;NA;NA;21;Praha;2013;75.25;79.1875;188.5625;NA;NA;NA
16P15;NA;NA;9;NA;NA;NA;15;Praha;2012;NA;NA;135;NA;NA;NA
43B15;NA;NA;10;NA;NA;NA;15;Bestvi;2012;NA;NA;150;NA;NA;NA
PSW15015;9.708333363;6;13.16666667;NA;NA;NA;15;Praha;2013;145.6250004;90;197.5;NA;NA;NA
PSW18031;4.708333363;4;16;NA;NA;NA;18;Praha;2013;84.75000053;72;288;NA;NA;NA
PSW21001;4.520833333;0.958333333;NA;NA;NA;NA;21;Praha;2013;94.9375;20.125;NA;NA;NA;NA
PSW21002;4.520833333;0.958333333;NA;NA;NA;NA;21;Praha;2013;94.9375;20.125;NA;NA;NA;NA
PSW21003;4.520833333;0.958333333;NA;NA;NA;NA;21;Praha;2013;94.9375;20.125;NA;NA;NA;NA
PSW21004;4.520833333;0.958333333;NA;NA;NA;NA;21;Praha;2013;94.9375;20.125;NA;NA;NA;NA
DSW18008;NA;0.958333333;NA;NA;NA;NA;18;Domazlice;2013;NA;17.25;NA;NA;NA;NA
PSW21021;NA;0.96875;NA;NA;NA;NA;21;Praha;2013;NA;20.34375;NA;NA;NA;NA
BSW21004001;NA;0.979166667;NA;NA;NA;NA;21;Bestvi;2013;NA;20.5625;NA;NA;NA;NA
PSW1803001;NA;1.020833333;NA;NA;NA;NA;18;Praha;2013;NA;18.375;NA;NA;NA;NA
PSW21035;NA;1.791666667;NA;NA;NA;NA;21;Praha;2013;NA;37.625;NA;NA;NA;NA
PSW21008;3.541666667;1.9375;NA;NA;NA;NA;21;Praha;2013;74.375;40.6875;NA;NA;NA;NA
DSW18007;5.541666667;1.9375;NA;NA;NA;NA;18;Domazlice;2013;99.75;34.875;NA;NA;NA;NA
PSW2504001;2.375;2;NA;NA;NA;NA;25;Praha;2013;59.375;50;NA;NA;NA;NA
PSW21068;4.541666667;2;NA;NA;NA;NA;21;Praha;2013;95.375;42;NA;NA;NA;NA
PSW21069;4.541666667;2;NA;NA;NA;NA;21;Praha;2013;95.375;42;NA;NA;NA;NA
PSW21070;4.541666667;2;NA;NA;NA;NA;21;Praha;2013;95.375;42;NA;NA;NA;NA
DSW18028;5.604166667;2;NA;NA;NA;NA;18;Domazlice;2013;100.875;36;NA;NA;NA;NA
BSW21001;NA;2;NA;NA;NA;NA;21;Bestvi;2013;NA;42;NA;NA;NA;NA
PSW18020;5.739583363;2.833333333;NA;NA;NA;NA;18;Praha;2013;103.3125005;51;NA;NA;NA;NA
BSW18013;NA;2.833333333;NA;NA;NA;NA;18;Bestvi;2013;NA;51;NA;NA;NA;NA
KSW1801005;NA;2.958333333;NA;NA;NA;NA;18;Klatovy;2013;NA;53.25;NA;NA;NA;NA
85B21;3;3;NA;NA;NA;NA;21;Bestvi;2012;63;63;NA;NA;NA;NA
45B15;6;3;NA;NA;NA;NA;15;Bestvi;2012;90;45;NA;NA;NA;NA
46B15;6;3;NA;NA;NA;NA;15;Bestvi;2012;90;45;NA;NA;NA;NA
BSW21032;4.6875;3;NA;NA;NA;26;21;Bestvi;2013;98.4375;63;NA;NA;NA;546
BSW21007;4.458333333;3.020833333;NA;NA;NA;NA;21;Bestvi;2013;93.625;63.4375;NA;NA;NA;NA
BSW21002;NA;3.083333333;NA;NA;NA;NA;21;Bestvi;2013;NA;64.75;NA;NA;NA;NA
PSW21062;4.4375;3.166666667;NA;NA;NA;NA;21;Praha;2013;93.1875;66.5;NA;NA;NA;NA
KSW18009;5.520833333;3.166666667;NA;NA;NA;NA;18;Klatovy;2013;99.375;57;NA;NA;NA;NA
PSW21039;6.458333333;3.166666667;NA;NA;NA;NA;21;Praha;2013;135.625;66.5;NA;NA;NA;NA
PSW15014;9.708333363;3.770833333;NA;NA;NA;NA;15;Praha;2013;145.6250004;56.5625;NA;NA;NA;NA
PSW21009;3.541666667;3.927083333;NA;NA;NA;NA;21;Praha;2013;74.375;82.46875;NA;NA;NA;NA
PSW21031;3.625;3.958333333;NA;NA;NA;NA;21;Praha;2013;76.125;83.125;NA;NA;NA;NA
PSW18017;4.635416667;3.958333333;NA;NA;NA;NA;18;Praha;2013;83.4375;71.25;NA;NA;NA;NA
PSW21048;3.6875;4;NA;NA;NA;NA;21;Praha;2013;77.4375;84;NA;NA;NA;NA
PSW21057;4.6875;4;NA;NA;NA;NA;21;Praha;2013;98.4375;84;NA;NA;NA;NA
94P15;6;4;NA;NA;NA;NA;15;Praha;2012;90;60;NA;NA;NA;NA
95P15;6;4;NA;NA;NA;NA;15;Praha;2012;90;60;NA;NA;NA;NA
96P15;6;4;NA;NA;NA;NA;15;Praha;2012;90;60;NA;NA;NA;NA
97P15;6;4;NA;NA;NA;NA;15;Praha;2012;90;60;NA;NA;NA;NA
BSW21011;3.4375;4.083333333;NA;NA;NA;NA;21;Bestvi;2013;72.1875;85.75;NA;NA;NA;NA
PSW21015;4.458333363;4.083333333;NA;NA;NA;NA;21;Praha;2013;93.62500061;85.75;NA;NA;NA;NA
